,RAM_Usage(%),RAM_Usage(GB),CPU_Mean_Usage(%),GPU_Usage(GB)
0,26.31,4.93,14.42,0.89
1,26.36,4.94,14.42,0.89
2,26.42,4.95,14.33,0.9
3,26.42,4.95,14.33,0.9
4,26.51,4.97,14.33,0.88
5,26.51,4.97,14.25,0.88
6,26.47,4.96,14.25,0.87
7,26.48,4.96,14.25,0.87
8,26.49,4.97,14.25,0.87
9,26.5,4.97,14.25,0.87
10,26.55,4.98,14.42,0.87
11,26.56,4.98,14.42,0.87
12,26.5,4.97,14.58,0.87
13,26.51,4.97,14.58,0.87
14,26.47,4.96,14.58,0.87
15,26.47066666666667,4.962,14.377333333333333,0.8779999999999998
