,RAM_Usage(%),RAM_Usage(GB),CPU_Mean_Usage(%),GPU_Usage(GB)
0,24.27,4.55,12.83,0.62
1,24.22,4.54,12.83,0.64
2,24.21,4.54,12.83,0.64
3,24.17,4.53,12.83,0.64
4,24.15,4.53,12.83,0.62
5,24.16,4.53,12.83,0.62
6,24.17,4.53,12.83,0.62
7,24.17,4.53,12.83,0.62
8,24.11,4.52,12.83,0.6
9,24.08,4.51,12.83,0.66
10,24.09,4.52,12.75,0.67
11,24.08,4.51,12.75,0.66
12,24.43,4.58,13.0,0.66
13,24.49,4.59,13.0,0.66
14,24.06,4.51,13.0,0.64
15,24.190666666666665,4.534666666666666,12.853333333333333,0.638
