,vbv-buf-capacity,trellis,sync-lookahead,quantizer,qp-min,qp-max,ip-factor,b-pyramid,MegaBytes
201,1000,false,100,0,10,10,2,false,150.497 MegaBytes
202,1000,false,100,0,10,51,0,true,13.909 MegaBytes
203,1000,false,100,0,10,51,0,false,13.921 MegaBytes
204,1000,false,100,0,10,51,2,true,14.135 MegaBytes
205,1000,false,100,0,10,51,2,false,14.147 MegaBytes
206,1000,false,100,0,51,10,0,true,150.245 MegaBytes
207,1000,false,100,0,51,10,0,false,150.497 MegaBytes
208,1000,false,100,0,51,10,2,true,150.245 MegaBytes
209,1000,false,100,0,51,10,2,false,150.497 MegaBytes
210,1000,false,100,0,51,51,0,true,3.142 MegaBytes
211,1000,false,100,0,51,51,0,false,3.141 MegaBytes
212,1000,false,100,0,51,51,2,true,3.142 MegaBytes
213,1000,false,100,0,51,51,2,false,3.141 MegaBytes
214,1000,false,100,50,10,10,0,true,150.245 MegaBytes
215,1000,false,100,50,10,10,0,false,150.497 MegaBytes
216,1000,false,100,50,10,10,2,true,150.245 MegaBytes
217,1000,false,100,50,10,10,2,false,150.497 MegaBytes
218,1000,false,100,50,10,51,0,true,13.889 MegaBytes
219,1000,false,100,50,10,51,0,false,13.920 MegaBytes
220,1000,false,100,50,10,51,2,true,14.127 MegaBytes
221,1000,false,100,50,10,51,2,false,14.141 MegaBytes
222,1000,false,100,50,51,10,0,true,150.245 MegaBytes
223,1000,false,100,50,51,10,0,false,150.497 MegaBytes
224,1000,false,100,50,51,10,2,true,150.245 MegaBytes
225,1000,false,100,50,51,10,2,false,150.497 MegaBytes
226,1000,false,100,50,51,51,0,true,3.142 MegaBytes
227,1000,false,100,50,51,51,0,false,3.141 MegaBytes
228,1000,false,100,50,51,51,2,true,3.142 MegaBytes
229,1000,false,100,50,51,51,2,false,3.141 MegaBytes
230,1000,false,250,0,10,10,0,true,150.245 MegaBytes
231,1000,false,250,0,10,10,0,false,150.497 MegaBytes
232,1000,false,250,0,10,10,2,true,150.245 MegaBytes
233,1000,false,250,0,10,10,2,false,150.497 MegaBytes
234,1000,false,250,0,10,51,0,true,13.903 MegaBytes
235,1000,false,250,0,10,51,0,false,13.942 MegaBytes
236,1000,false,250,0,10,51,2,true,14.125 MegaBytes
237,1000,false,250,0,10,51,2,false,14.148 MegaBytes
238,1000,false,250,0,51,10,0,true,150.245 MegaBytes
239,1000,false,250,0,51,10,0,false,150.497 MegaBytes
240,1000,false,250,0,51,10,2,true,150.245 MegaBytes
241,1000,false,250,0,51,10,2,false,150.497 MegaBytes
242,1000,false,250,0,51,51,0,true,3.142 MegaBytes
243,1000,false,250,0,51,51,0,false,3.141 MegaBytes
244,1000,false,250,0,51,51,2,true,3.142 MegaBytes
245,1000,false,250,0,51,51,2,false,3.141 MegaBytes
246,1000,false,250,50,10,10,0,true,150.245 MegaBytes
247,1000,false,250,50,10,10,0,false,150.497 MegaBytes
248,1000,false,250,50,10,10,2,true,150.245 MegaBytes
249,1000,false,250,50,10,10,2,false,150.497 MegaBytes
250,1000,false,250,50,10,51,0,true,13.918 MegaBytes
251,1000,false,250,50,10,51,0,false,13.942 MegaBytes
252,1000,false,250,50,10,51,2,true,14.116 MegaBytes
253,1000,false,250,50,10,51,2,false,14.155 MegaBytes
254,1000,false,250,50,51,10,0,true,150.245 MegaBytes
255,1000,false,250,50,51,10,0,false,150.497 MegaBytes
256,1000,false,250,50,51,10,2,true,150.245 MegaBytes
257,1000,false,250,50,51,10,2,false,150.497 MegaBytes
258,1000,false,250,50,51,51,0,true,3.142 MegaBytes
259,1000,false,250,50,51,51,0,false,3.141 MegaBytes
260,1000,false,250,50,51,51,2,true,3.142 MegaBytes
261,1000,false,250,50,51,51,2,false,3.141 MegaBytes
