,RAM_Usage(%),RAM_Usage(GB),CPU_Mean_Usage(%),GPU_Usage(GB)
0,25.99,4.87,12.08,0.62
1,26.05,4.88,12.08,0.64
2,26.01,4.88,12.08,0.64
3,26.04,4.88,12.25,0.63
4,26.04,4.88,12.25,0.62
5,26.01,4.87,12.42,0.61
6,25.98,4.87,12.42,0.61
7,26.04,4.88,12.5,0.62
8,26.02,4.88,12.5,0.62
9,25.99,4.87,12.5,0.62
10,26.08,4.89,12.58,0.62
11,26.11,4.89,12.58,0.62
12,26.08,4.89,12.58,0.62
13,26.2,4.91,12.58,0.63
14,26.11,4.9,12.58,0.66
15,26.05,4.882666666666667,12.398666666666669,0.6253333333333334
