,RAM_Usage(%),RAM_Usage(GB),CPU_Mean_Usage(%),GPU_Usage(GB)
0,23.51,4.41,14.42,0.79
1,23.55,4.42,14.42,0.8
2,23.51,4.41,14.33,0.8
3,23.53,4.41,14.33,0.78
4,23.63,4.43,14.33,0.78
5,23.68,4.44,14.25,0.79
6,23.67,4.44,14.25,0.79
7,23.64,4.43,14.33,0.76
8,23.64,4.43,14.33,0.76
9,23.65,4.43,14.33,0.76
10,23.61,4.43,14.25,0.76
11,23.6,4.42,14.25,0.76
12,23.59,4.42,14.17,0.76
13,23.59,4.42,14.17,0.76
14,23.59,4.42,14.17,0.76
15,23.59933333333333,4.424,14.288666666666666,0.7739999999999999
