,RAM_Usage(%),RAM_Usage(GB),CPU_Mean_Usage(%),GPU_Usage(GB)
0,24.1,4.52,11.08,0.63
1,24.12,4.52,11.0,0.63
2,24.13,4.52,11.0,0.63
3,24.16,4.53,11.5,0.62
4,24.2,4.54,11.5,0.63
5,24.21,4.54,11.5,0.62
6,24.22,4.54,12.0,0.62
7,24.21,4.54,12.0,0.61
8,24.18,4.53,12.58,0.61
9,24.15,4.53,12.58,0.62
10,24.17,4.53,12.58,0.62
11,24.25,4.55,12.67,0.62
12,24.32,4.56,12.67,0.61
13,24.32,4.56,13.08,0.61
14,24.26,4.55,13.08,0.61
15,24.2,4.537333333333334,12.054666666666666,0.6193333333333333
